burrow,year,stintID,start_date,ring,sex,start_mass,burrowID,stintlength,DSL,end_mass,endsInNeglect,followsNeglect,exp,whoFirst
181,2019,2,25/05/2019,EZ88883,M,455,181.2019,11,18,350,NO,NO,NEW,M
181,2019,2,05/06/2019,EX59709,F,425,181.2019,8,29,375,NO,NO,NEW,M
181,2019,3,13/06/2019,EZ88883,M,455,181.2019,7,37,395,NO,NO,NEW,M
181,2019,3,20/06/2019,EX59709,F,425,181.2019,1,44,425,NO,NO,NEW,M
181,2019,4,25/06/2019,EZ88883,M,460,181.2019,2,49,450,NO,NO,NEW,M
184,2018,0,21/05/2018,EK59655,M,400,184.2018,2,1,395,NO,NO,EXP,M
184,2018,0,23/05/2018,EK59656,F,440,184.2018,5,3,400,NO,NO,EXP,M
184,2018,1,28/05/2018,EK59655,M,450,184.2018,7,8,375,NO,NO,EXP,M
184,2018,1,04/06/2018,EK59656,F,455,184.2018,7,15,390,NO,NO,EXP,M
184,2018,2,11/06/2018,EK59655,M,445,184.2018,8,22,360,NO,NO,EXP,M
184,2018,2,19/06/2018,EK59656,F,480,184.2018,7,30,420,NO,NO,EXP,M
184,2018,3,26/06/2018,EK59655,M,445,184.2018,8,37,365,NO,NO,EXP,M
185,2019,0,09/05/2019,EZ72727,M,435,185.2019,2,1,415,YES,NO,NEW,M
185,2019,1,12/05/2019,EZ72727,M,420,185.2019,1,4,420,YES,YES,NEW,M
185,2019,0,14/05/2019,FB32163,F,430,185.2019,3,6,425,YES,YES,NEW,M
185,2019,1,21/05/2019,FB32163,F,430,185.2019,1,13,430,YES,YES,NEW,M
185,2019,2,24/05/2019,EZ72727,M,400,185.2019,1,16,400,NO,YES,NEW,M
185,2019,2,25/05/2019,FB32163,F,445,185.2019,2,17,445,NO,NO,NEW,M
185,2019,3,27/05/2019,EZ72727,M,430,185.2019,3,19,400,YES,NO,NEW,M
185,2019,4,04/06/2019,EZ72727,M,385,185.2019,1,27,385,YES,YES,NEW,M
186,2015,0,21/05/2015,EK59620,M,465,186.2015,5,1,420,NO,NO,EXP,M
186,2015,0,26/05/2015,EY07357,F,390,186.2015,5,6,355,NO,NO,EXP,M
186,2015,1,31/05/2015,EK59620,M,460,186.2015,6,11,395,NO,NO,EXP,M
186,2015,1,06/06/2015,EY07357,F,405,186.2015,8,17,335,NO,NO,EXP,M
186,2015,2,14/06/2015,EK59620,M,455,186.2015,7,25,380,NO,NO,EXP,M
186,2015,2,21/06/2015,EY07357,F,420,186.2015,5,32,370,NO,NO,EXP,M
186,2015,3,30/06/2015,EK59620,M,435,186.2015,7,37,NA,NO,NO,EXP,M
186,2018,0,19/05/2018,FB32243,F,425,186.2018,3,1,395,NO,NO,UNKNOWN,F
186,2018,0,22/05/2018,EZ88868,M,445,186.2018,2,4,425,NO,NO,UNKNOWN,F
186,2018,1,24/05/2018,FB32243,F,435,186.2018,5,6,405,NO,NO,UNKNOWN,F
186,2018,1,28/05/2018,EZ88868,M,450,186.2018,3,10,415,NO,NO,UNKNOWN,F
186,2018,2,31/05/2018,FB32243,F,430,186.2018,4,13,385,NO,NO,UNKNOWN,F
186,2018,2,04/06/2018,EZ88868,M,440,186.2018,4,17,420,NO,NO,UNKNOWN,F
186,2018,3,08/06/2018,FB32243,F,415,186.2018,6,21,370,NO,NO,UNKNOWN,F
186,2018,3,14/06/2018,EZ88868,M,500,186.2018,5,27,440,NO,NO,UNKNOWN,F
186,2018,4,19/06/2018,FB32243,F,420,186.2018,5,32,380,NO,NO,UNKNOWN,F
186,2018,4,24/06/2018,EZ88868,M,465,186.2018,5,37,430,NO,NO,UNKNOWN,F
186,2018,5,29/06/2018,FB32243,F,430,186.2018,5,42,385,NO,NO,UNKNOWN,F
189,2016,0,21/05/2016,EK59682,M,345,189.2016,2,1,NA,NO,NO,UNKNOWN,M
189,2016,0,23/05/2016,EK93928,F,450,189.2016,9,3,NA,NO,NO,UNKNOWN,M
189,2016,1,01/06/2016,EK59682,M,455,189.2016,7,12,400,NO,NO,UNKNOWN,M
189,2016,1,08/06/2016,EK93928,F,450,189.2016,6,19,380,YES,NO,UNKNOWN,M
189,2016,2,15/06/2016,EK93928,F,380,189.2016,1,26,380,YES,YES,UNKNOWN,M
189,2016,2,17/06/2016,EK59682,M,470,189.2016,5,28,425,NO,YES,UNKNOWN,M
189,2016,3,22/06/2016,EK93928,F,415,189.2016,2,33,410,YES,NO,UNKNOWN,M
189,2016,4,25/06/2016,EK93928,F,410,189.2016,1,36,410,YES,YES,UNKNOWN,M
189,2016,3,27/06/2016,EK59682,M,465,189.2016,5,38,415,NO,YES,UNKNOWN,M
189,2016,5,02/07/2016,EK93928,F,445,189.2016,2,43,425,YES,NO,UNKNOWN,M
189,2016,4,08/07/2016,EK59682,M,460,189.2016,4,49,400,NO,YES,UNKNOWN,M
193,2016,0,11/05/2016,EK59809,M,470,193.2016,5,1,410,NO,NO,EXP,M
193,2016,0,16/05/2016,EZ01767,F,465,193.2016,6,6,395,NO,NO,EXP,M
193,2016,1,22/05/2016,EK59809,M,410,193.2016,5,12,365,YES,NO,EXP,M
193,2016,2,03/06/2016,EK59809,M,455,193.2016,7,24,385,NO,NO,EXP,M
194,2016,0,21/05/2016,EZ01668,F,410,194.2016,3,1,380,NO,NO,NEW,F
194,2016,0,24/05/2016,EK59932,M,480,194.2016,10,4,375,NO,NO,NEW,F
194,2016,1,03/06/2016,EZ01668,F,385,194.2016,7,14,375,NO,NO,NEW,F
194,2016,1,10/06/2016,EK59932,M,485,194.2016,8,21,395,NO,NO,NEW,F
194,2016,2,18/06/2016,EZ01668,F,465,194.2016,8,29,400,NO,NO,NEW,F
194,2016,2,26/06/2016,EK59932,M,480,194.2016,9,37,410,NO,NO,NEW,F
194,2016,3,05/07/2016,EZ01668,F,440,194.2016,1,46,440,YES,NO,NEW,F
194,2016,4,07/07/2016,EZ01668,F,420,194.2016,5,48,360,NO,YES,NEW,F
195,2015,0,07/05/2015,EJ47565,M,470,195.2015,1,1,470,NO,NO,EXP,M
195,2015,0,08/05/2015,EK59811,F,470,195.2015,1,2,470,NO,NO,EXP,M
