burrow,year,stintID,ring,sex,start_mass,DSL,foragetrip,partnerincoming,exp
181,2019,2,EZ88883,M,350,28,8,425,NEW
181,2019,3,EZ88883,M,395,43,5,425,NEW
181,2019,2,EX59709,F,375,36,7,455,NEW
184,2018,1,EK59656,F,390,21,8,445,EXP
184,2018,2,EK59655,M,360,29,7,480,EXP
184,2018,0,EK59656,F,400,7,7,450,EXP
184,2018,1,EK59655,M,375,14,7,455,EXP
184,2018,2,EK59656,F,420,36,8,445,EXP
184,2018,0,EK59655,M,395,2,5,NA,EXP
185,2019,0,FB32163,F,425,8,4,400,NEW
185,2019,0,EZ72727,M,415,2,1,NA,NEW
185,2019,2,EZ72727,M,400,16,2,445,NEW
185,2019,2,FB32163,F,445,18,5,430,NEW
185,2019,1,EZ72727,M,420,4,11,420,NEW
185,2019,3,EZ72727,M,400,21,5,415,NEW
185,2019,1,FB32163,F,430,13,3,430,NEW
186,2015,2,EK59620,M,380,31,9,420,EXP
186,2015,0,EY07357,F,355,10,6,460,EXP
186,2015,1,EK59620,M,395,16,8,405,EXP
186,2015,0,EK59620,M,420,5,5,NA,EXP
186,2015,1,EY07357,F,335,24,7,455,EXP
186,2015,2,EY07357,F,370,36,11,435,EXP
186,2018,4,FB32243,F,380,36,5,465,UNKNOWN
186,2018,0,EZ88868,M,425,5,4,435,UNKNOWN
186,2018,3,FB32243,F,370,26,5,500,UNKNOWN
186,2018,0,FB32243,F,395,3,2,NA,UNKNOWN
186,2018,4,EZ88868,M,430,41,5,430,UNKNOWN
186,2018,3,EZ88868,M,440,31,5,420,UNKNOWN
186,2018,1,EZ88868,M,415,12,4,430,UNKNOWN
186,2018,2,EZ88868,M,420,20,6,415,UNKNOWN
186,2018,2,FB32243,F,385,16,4,440,UNKNOWN
186,2018,1,FB32243,F,405,10,2,450,UNKNOWN
189,2016,4,EK93928,F,410,36,6,410,UNKNOWN
189,2016,2,EK93928,F,380,26,6,380,UNKNOWN
189,2016,0,EK93928,F,NA,11,7,455,UNKNOWN
189,2016,0,EK59682,M,NA,2,9,NA,UNKNOWN
189,2016,2,EK59682,M,425,32,5,415,UNKNOWN
189,2016,1,EK59682,M,400,18,9,450,UNKNOWN
189,2016,5,EK93928,F,425,44,1,460,UNKNOWN
189,2016,3,EK59682,M,415,42,6,445,UNKNOWN
189,2016,3,EK93928,F,410,34,1,465,UNKNOWN
189,2016,1,EK93928,F,380,24,1,470,UNKNOWN
193,2016,1,EK59809,M,365,16,7,485,EXP
193,2016,0,EK59809,M,410,5,6,NA,EXP
193,2016,0,EZ01767,F,395,11,8,410,EXP
194,2016,2,EZ01668,F,400,36,9,480,NEW
194,2016,0,EK59932,M,375,13,7,385,NEW
194,2016,1,EK59932,M,395,28,8,465,NEW
194,2016,3,EZ01668,F,440,46,1,475,NEW
194,2016,1,EZ01668,F,375,20,8,485,NEW
194,2016,2,EK59932,M,410,45,7,440,NEW
194,2016,0,EZ01668,F,380,3,10,NA,NEW
195,2015,4,EK59811,F,410,42,8,480,EXP
195,2015,1,EJ47565,M,440,5,2,460,EXP
195,2015,0,EK59811,F,470,2,3,495,EXP
195,2015,1,EK59811,F,NA,7,4,475,EXP
195,2015,2,EK59811,F,415,16,6,460,EXP
195,2015,3,EK59811,F,NA,29,7,455,EXP
195,2015,2,EJ47565,M,440,11,5,430,EXP
195,2015,4,EJ47565,M,395,36,6,450,EXP
195,2015,3,EJ47565,M,410,22,7,445,EXP
195,2015,0,EJ47565,M,470,1,1,NA,EXP
195,2016,2,EK59811,F,415,33,8,455,EXP
195,2016,0,EK59811,F,430,13,5,465,EXP
195,2016,3,EJ47565,M,380,41,6,465,EXP
195,2016,1,EJ47565,M,425,18,4,465,EXP
195,2016,0,EJ47565,M,400,9,4,NA,EXP
195,2016,2,EJ47565,M,400,27,6,440,EXP
195,2016,1,EK59811,F,NA,22,5,455,EXP
201,2016,0,EZ01921,M,420,18,7,445,UNKNOWN
201,2016,1,EJ99550,F,415,25,7,460,UNKNOWN
201,2016,1,EZ01921,M,NA,32,7,465,UNKNOWN
201,2016,0,EJ99550,F,430,12,6,NA,UNKNOWN
201,2019,1,EJ99550,F,450,19,8,480,EXP
201,2019,2,EJ99550,F,375,34,8,470,EXP
201,2019,1,EZ01921,M,425,15,4,480,EXP
201,2019,3,EJ99550,F,375,49,3,455,EXP
201,2019,0,EJ99550,F,NA,10,5,475,EXP
201,2019,3,EZ01921,M,420,42,7,425,EXP
201,2019,0,EZ01921,M,420,5,5,NA,EXP
201,2019,2,EZ01921,M,415,27,7,425,EXP
202,2016,2,FB24514,M,410,21,7,430,UNKNOWN
202,2016,0,FB24529,F,435,15,7,480,UNKNOWN
202,2016,1,FB24514,M,460,18,1,450,UNKNOWN
202,2016,0,FB24514,M,385,9,6,NA,UNKNOWN
204,2016,0,EZ01966,F,415,11,6,485,UNKNOWN
204,2016,1,EK59610,M,410,17,11,390,UNKNOWN
204,2016,1,EZ01966,F,320,26,7,455,UNKNOWN
204,2016,2,EZ01966,F,395,41,8,455,UNKNOWN
204,2016,2,EK59610,M,415,33,8,445,UNKNOWN
204,2016,0,EK59610,M,410,8,3,NA,UNKNOWN
205,2016,0,EZ01963,M,435,24,7,460,UNKNOWN
205,2016,1,EZ01963,M,460,39,8,510,UNKNOWN
205,2016,1,FB30617,F,395,31,8,505,UNKNOWN
205,2016,0,FB30617,F,400,16,8,NA,UNKNOWN
205,2016,2,EZ01963,M,455,50,1,520,UNKNOWN
205,2018,2,FB30617,F,420,26,7,505,EXP
205,2018,0,FB30617,F,420,4,4,NA,EXP
205,2018,0,EZ01963,M,440,8,4,415,EXP
205,2018,1,FB30617,F,390,12,7,460,EXP
205,2018,1,EZ01963,M,400,19,7,490,EXP
205,2018,2,EZ01963,M,440,33,9,485,EXP
206,2016,1,FB30382,M,455,20,9,455,EXP
206,2016,0,FB30382,M,415,7,7,NA,EXP
206,2016,0,EX93844,F,375,14,6,510,EXP
206,2016,1,EX93844,F,385,29,9,490,EXP
207,2019,0,EZ72786,M,400,9,5,450,EXP
207,2019,1,EZ72871,F,400,14,10,460,EXP
207,2019,0,EZ72871,F,430,2,6,NA,EXP
209,2019,1,EK59654,M,470,6,8,415,UNKNOWN
209,2019,1,EZ72759,F,365,14,13,455,UNKNOWN
209,2019,2,EK59654,M,375,24,5,420,UNKNOWN
209,2019,0,EZ72759,F,410,4,3,470,UNKNOWN
209,2019,2,EZ72759,F,420,28,1,460,UNKNOWN
209,2019,0,EK59654,M,480,1,3,NA,UNKNOWN
23,2015,1,FB32163,F,420,18,3,425,EXP
23,2015,0,FB32163,F,355,5,11,NA,EXP
23,2015,0,FB30048,M,455,21,4,410,EXP
23,2015,2,FB32163,F,390,25,7,470,EXP
3,2018,3,EK59708,F,440,28,2,545,EXP
3,2018,1,EK59708,F,415,14,4,485,EXP
3,2018,4,EZ01650,M,535,30,2,440,EXP
3,2018,2,EZ01650,M,450,18,3,460,EXP
3,2018,2,EK59708,F,440,21,4,510,EXP
3,2018,0,EK59708,F,475,8,2,480,EXP
3,2018,3,EZ01650,M,465,25,3,470,EXP
3,2018,4,EK59708,F,425,32,5,500,EXP
3,2018,5,EZ01650,M,485,37,7,435,EXP
3,2018,0,EZ01650,M,430,5,3,NA,EXP
3,2018,1,EZ01650,M,465,10,4,450,EXP
3,2018,5,EK59708,F,385,44,8,505,EXP
3,2018,6,EZ01650,M,430,52,2,430,EXP
3,2018,6,EK59708,F,420,54,6,520,EXP
3,2018,7,EZ01650,M,460,60,3,440,EXP
3,2018,7,EK59708,F,435,62,3,475,EXP
3,2019,0,EZ01650,M,NA,2,2,NA,EXP
3,2019,0,EK59708,F,NA,4,5,460,EXP
3,2019,3,EK59708,F,390,35,7,495,EXP
3,2019,4,EZ01650,M,460,42,6,460,EXP
3,2019,3,EZ01650,M,490,30,5,435,EXP
3,2019,2,EK59708,F,410,25,5,520,EXP
3,2019,1,EZ01650,M,420,9,5,445,EXP
3,2019,2,EZ01650,M,455,20,5,460,EXP
3,2019,1,EK59708,F,405,14,6,510,EXP
39,2016,0,FB30572,F,385,4,1,NA,UNKNOWN
42,2017,0,FB30654,F,NA,14,8,NA,NEW
42,2017,0,EX41728,M,NA,22,3,NA,NEW
42,2017,1,FB30654,F,NA,25,5,NA,NEW
42,2019,0,FB30654,F,395,6,3,475,EXP
42,2019,0,EX41728,M,420,3,3,NA,EXP
42,2019,1,FB30654,F,395,12,4,435,EXP
42,2019,3,EX41728,M,430,32,2,415,EXP
42,2019,1,EX41728,M,440,9,3,420,EXP
42,2019,2,FB30654,F,365,24,8,465,EXP
42,2019,2,EX41728,M,415,16,8,415,EXP
42,2019,4,EX41728,M,410,38,7,425,EXP
42,2019,3,FB30654,F,410,34,4,430,EXP
44,2016,1,EZ01953,F,360,36,8,470,UNKNOWN
44,2016,0,EK59717,M,390,13,7,NA,UNKNOWN
44,2016,0,EZ01953,F,415,20,6,470,UNKNOWN
44,2016,1,EK59717,M,NA,26,10,445,UNKNOWN
44,2017,0,EK59717,M,NA,5,8,NA,EXP
44,2017,1,EK59717,M,NA,19,10,NA,EXP
44,2017,0,EZ01953,F,NA,13,6,NA,EXP
44,2017,2,EK59717,M,NA,38,9,NA,EXP
44,2017,1,EZ01953,F,NA,29,9,NA,EXP
46,2015,0,FB30047,F,445,14,9,525,EXP
46,2015,1,FB30034,M,440,23,7,500,EXP
46,2015,1,FB30047,F,445,30,9,515,EXP
46,2015,0,FB30034,M,465,7,7,NA,EXP
46,2015,2,FB30034,M,435,39,7,490,EXP
46,2017,0,FB30047,F,NA,17,11,NA,EXP
46,2017,1,FB30047,F,NA,35,8,NA,EXP
46,2017,0,FB30034,M,NA,28,7,NA,EXP
46,2019,1,FB30047,F,435,12,8,510,EXP
46,2019,0,FB30034,M,435,6,6,480,EXP
46,2019,1,FB30034,M,425,20,8,495,EXP
46,2019,2,FB30047,F,420,28,9,475,EXP
46,2019,3,FB30047,F,430,44,7,505,EXP
46,2019,0,FB30047,F,430,1,5,NA,EXP
46,2019,2,FB30034,M,400,37,7,475,EXP
50,2015,2,FB30390,M,410,23,5,415,EXP
50,2015,3,EX93544,F,370,41,6,500,EXP
50,2015,3,FB30390,M,420,35,6,410,EXP
50,2015,1,EX93544,F,370,17,6,450,EXP
50,2015,1,FB30390,M,445,13,4,400,EXP
50,2015,0,FB30390,M,435,6,3,NA,EXP
50,2015,2,EX93544,F,375,28,7,475,EXP
50,2015,0,EX93544,F,395,9,4,495,EXP
56,2016,0,EK59618,M,425,7,7,NA,NEW
56,2016,0,FB32304,F,400,14,8,500,NEW
56,2019,1,EK59618,M,410,5,3,450,EXP
56,2019,0,EK59618,M,415,1,1,NA,EXP
6,2015,2,FB32249,M,385,30,8,440,EXP
6,2015,0,FB32335,F,410,1,4,NA,EXP
6,2015,2,FB32335,F,390,21,9,455,EXP
6,2015,0,FB32249,M,435,5,3,465,EXP
6,2015,1,FB32249,M,405,13,8,445,EXP
6,2015,3,FB32335,F,365,38,7,490,EXP
6,2015,1,FB32335,F,435,8,5,430,EXP
64,2016,1,EZ01958,F,395,19,15,450,UNKNOWN
64,2016,0,EZ01933,M,495,1,4,NA,UNKNOWN
64,2016,3,EZ01933,M,370,28,8,405,UNKNOWN
64,2016,2,EZ01933,M,425,15,5,425,UNKNOWN
64,2016,1,EZ01933,M,485,7,3,515,UNKNOWN
64,2016,0,EZ01958,F,425,9,6,470,UNKNOWN
81,2018,0,EK59658,M,470,1,2,NA,EXP
81,2018,4,EK59658,M,385,30,9,420,EXP
81,2018,2,EZ72736,F,345,21,9,475,EXP
81,2018,0,EZ72736,F,405,3,3,505,EXP
81,2018,1,EZ72736,F,400,9,5,490,EXP
81,2018,1,EK59658,M,470,6,3,410,EXP
81,2018,3,EK59658,M,430,14,7,430,EXP
81,2018,2,EK59658,M,470,11,2,400,EXP
88,2016,1,EZ01652,F,375,33,8,485,EXP
88,2016,1,FB30521,M,420,41,6,465,EXP
88,2016,0,EZ01652,F,435,16,8,NA,EXP
88,2016,0,FB30521,M,NA,24,9,470,EXP
88,2018,0,FB30521,M,380,7,8,465,EXP
88,2018,2,FB30521,M,395,38,7,485,EXP
88,2018,2,EZ01652,F,415,29,9,465,EXP
88,2018,1,EZ01652,F,400,15,8,470,EXP
88,2018,0,EZ01652,F,425,1,6,NA,EXP
88,2018,1,FB30521,M,405,23,6,465,EXP
89,2017,1,EZ12773,M,NA,33,4,NA,UNKNOWN
89,2017,1,EZ72783,F,NA,37,1,NA,UNKNOWN
89,2017,0,EZ12773,M,NA,15,9,NA,UNKNOWN
89,2017,0,EZ72783,F,NA,24,9,NA,UNKNOWN
9,2016,2,EX93810,F,410,23,9,510,EXP
9,2016,2,EX93845,M,470,32,11,430,EXP
9,2016,1,EX93845,M,510,20,3,430,EXP
9,2016,3,EX93810,F,350,43,8,500,EXP
9,2016,0,EX93810,F,365,6,7,NA,EXP
9,2016,0,EX93845,M,484,13,4,460,EXP
9,2016,1,EX93810,F,430,17,3,520,EXP
95,2015,0,EZ01635,F,415,1,8,NA,NEW
95,2015,0,FB32284,M,360,9,7,475,NEW
95,2015,2,FB32284,M,375,41,7,455,NEW
95,2015,2,EZ01635,F,420,31,10,455,NEW
95,2015,1,EZ01635,F,420,16,8,465,NEW
95,2015,1,FB32284,M,400,24,7,490,NEW
95,2019,1,EZ01635,F,405,22,8,470,EXP
95,2019,1,FB30522,M,415,30,8,425,EXP
95,2019,0,FB30522,M,380,15,7,470,EXP
95,2019,0,EZ01635,F,370,3,12,NA,EXP
95,2019,2,EZ01635,F,355,38,11,470,EXP
98,2017,0,EZ01870,M,NA,4,11,NA,EXP
98,2017,1,EZ01871,F,NA,24,9,NA,EXP
98,2017,1,EZ01870,M,NA,19,6,NA,EXP
98,2017,2,EZ01870,M,NA,31,8,NA,EXP
98,2017,0,EZ01871,F,NA,15,4,NA,EXP
DB1,2019,0,EZ01790,M,435,5,4,NA,EXP
DB1,2019,1,EZ01604,F,415,19,6,475,EXP
DB1,2019,0,EZ01604,F,415,9,5,455,EXP
DB1,2019,1,EZ01790,M,420,14,5,445,EXP
DB10,2015,1,EX41735,M,405,9,5,405,EXP
DB10,2015,1,FB30125,F,365,14,4,435,EXP
DB10,2015,0,FB30125,F,390,5,4,440,EXP
DB10,2015,2,EX41735,M,415,18,5,430,EXP
DB10,2015,0,EX41735,M,420,2,3,NA,EXP
DB11,2015,1,EX41787,F,415,15,8,470,EXP
DB11,2015,0,EX41787,F,405,2,6,NA,EXP
DB11,2015,2,EX41787,F,395,31,9,475,EXP
DB11,2015,1,EX41736,M,410,23,9,465,EXP
DB11,2015,0,EX41736,M,425,8,7,450,EXP
DB11,2015,2,EX41736,M,420,40,6,455,EXP
